2,303,4,888550774
2,316,5,888979693
2,237,4,888552017
2,282,4,888551922
2,257,4,888551062
2,273,4,888551647
2,292,4,888550774
2,277,4,888551174
2,300,4,888979197
2,255,4,888551341
2,274,3,888551497
2,285,5,888552084
2,309,1,888980029
2,100,5,888552084
2,315,1,888550774
2,307,3,888550066
2,25,4,888551648
2,127,5,888552084
2,306,4,888550774
2,258,3,888549961
2,291,3,888551647
2,275,5,888550939
2,314,1,888980085
2,111,4,888551853
2,308,3,888979945
2,310,4,888979061
2,286,4,888549960
2,10,2,888551853
2,295,4,888551164
2,1,4,888550871
2,302,5,888552084
2,294,1,888551648
2,311,5,888552084
2,276,4,888551552
2,251,5,888552084
2,283,5,888552084
2,269,4,888550774
2,288,3,888550252
2,293,4,888550939
2,297,4,888550871
2,19,3,888550871
2,304,4,888979197
2,284,4,888552017
2,299,4,888550774
2,298,3,888551441
2,13,4,888551922
2,296,3,888550871
2,50,5,888552084
2,301,4,888550631
2,305,3,888550065
2,289,3,888979353
2,280,3,888551441
2,279,4,888551745
2,313,5,888552084
2,287,3,888551235
2,14,4,888551853
2,242,5,888552084
2,312,3,888550631
2,272,5,888979061
2,290,3,888551441
2,278,3,888551647
2,281,3,888980240
3,334,3,889237122
3,328,5,889237455
3,352,2,889237055
3,268,3,889236961
3,335,1,889237269
3,245,1,889237247
3,350,3,889237076
3,326,2,889237224
3,321,5,889237455
3,325,1,889237297
3,336,1,889237198
3,339,3,889237141
3,302,2,889236939
3,324,2,889237247
3,338,2,889237297
3,319,2,889237026
3,320,5,889237482
3,348,4,889237455
3,343,3,889237122
3,181,4,889237482
3,354,3,889237004
3,299,3,889237199
3,342,4,889237174
3,351,3,889237315
3,260,4,889237455
3,340,5,889237455
3,331,4,889237455
3,307,3,889237224
3,258,2,889237026
3,345,3,889237004
3,303,3,889236983
3,347,5,889237455
3,332,1,889237224
3,294,2,889237224
3,355,3,889237247
3,330,2,889237297
3,300,2,889236939
3,346,5,889237455
3,322,3,889237269
3,318,4,889237482
3,317,2,889237482
3,329,4,889237455
3,271,3,889237224
3,341,1,889237055
3,344,4,889236939
3,264,2,889237297
3,327,4,889237455
3,349,3,889237269
3,272,2,889237055
3,337,1,889236983
3,333,2,889236939
3,323,2,889237269
3,353,1,889237122
3,288,2,889237026
